date,name,id,hazardous,absolute_magnitude_h,diameter_min_m,diameter_max_m,miss_distance_km,velocity_km_s
2025-12-05,(2025 XJ),54565832,True,21.72,120.3801767384,269.1782583305,6736578.126011132,30.3419387114
2025-12-07,(2014 YR15),3703073,True,21.45,136.3185558649,304.8175575085,15788188.451398779,8.3230963174
2025-12-01,(2007 VM184),3394543,True,21.05,163.8909514948,366.4713084395,4997961.030738007,20.0178766677
2025-12-03,533722 (2014 NE52),2533722,True,18.2,608.9126221057,1361.5700153859,15836026.125237815,12.457150382
2025-12-08,297418 (2000 SP43),2297418,True,18.52,525.4785303417,1175.0057145608,27894399.282543197,14.7469682381
2025-12-08,(2010 XP69),3553986,True,20.75,188.1719894893,420.7653599595,68272768.98586531,17.3843081896
