date,name,id,hazardous,absolute_magnitude_h,diameter_min_m,diameter_max_m,miss_distance_km,velocity_km_s
2025-12-23,(2006 HV5),3330155,True,19.41,348.7827331593,779.9019007224,70949399.79177918,23.2049022366
2025-12-20,(2002 VP69),3141540,True,17.9,699.1252322458,1563.2915440869,36366817.74296345,15.951919583
